mazeSize,wallDensity,branchingFactor,solutionDistortions,MSTCost,difficultyLevel
5,64,4,12,24,1
9,75,20,30,50,1
13,78,40,42,90,2
5,64,5,16,24,1
8,76,19,26,63,1
25,92,164,132,624,5
11,82,32,40,120,2
17,88,75,74,288,2
23,91,134,92,528,4
20,90,105,86,399,3
12,84,30,42,143,2
17,88,70,68,288,3
16,87,62,70,255,3
17,88,80,67,288,2
18,88,83,85,323,3
17,88,80,77,288,2
14,86,47,52,195,2
21,90,111,91,440,3
24,91,141,106,575,4
13,85,50,39,168,2
14,86,52,50,195,2
14,85,56,46,195,2
25,92,165,113,624,5
19,89,94,96,360,4
22,91,126,125,483,5
